This is Ultimate 0.1.23-3204b74
[2018-10-30 21:35:38,505 INFO  L107             Complement]: Finished complement. Result 125 states and 2875 transitions.
[2018-10-30 21:35:38,505 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,506 INFO  L77               Intersect]: Start intersect. First operand 133 states and 147 transitions. Second operand 125 states and 2875 transitions.
[2018-10-30 21:35:38,512 INFO  L84               Intersect]: Finished intersect. Result 165 states and 181 transitions.
[2018-10-30 21:35:38,513 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,513 INFO  L101             Complement]: Start complement. Operand 16 states.
[2018-10-30 21:35:38,514 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:38,562 INFO  L107             Complement]: Finished complement. Result 125 states and 2875 transitions.
[2018-10-30 21:35:38,563 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,563 INFO  L77               Intersect]: Start intersect. First operand 165 states and 181 transitions. Second operand 125 states and 2875 transitions.
[2018-10-30 21:35:38,565 INFO  L84               Intersect]: Finished intersect. Result 185 states and 203 transitions.
[2018-10-30 21:35:38,566 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,566 INFO  L101             Complement]: Start complement. Operand 16 states.
[2018-10-30 21:35:38,567 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:38,606 INFO  L107             Complement]: Finished complement. Result 125 states and 2875 transitions.
[2018-10-30 21:35:38,607 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,608 INFO  L77               Intersect]: Start intersect. First operand 185 states and 203 transitions. Second operand 125 states and 2875 transitions.
[2018-10-30 21:35:38,610 INFO  L84               Intersect]: Finished intersect. Result 217 states and 237 transitions.
[2018-10-30 21:35:38,611 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,612 INFO  L101             Complement]: Start complement. Operand 4 states.
[2018-10-30 21:35:38,612 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:38,615 INFO  L107             Complement]: Finished complement. Result 6 states and 138 transitions.
[2018-10-30 21:35:38,615 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,616 INFO  L77               Intersect]: Start intersect. First operand 217 states and 237 transitions. Second operand 6 states and 138 transitions.
[2018-10-30 21:35:38,623 INFO  L84               Intersect]: Finished intersect. Result 351 states and 382 transitions.
[2018-10-30 21:35:38,623 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,624 INFO  L101             Complement]: Start complement. Operand 20 states.
[2018-10-30 21:35:38,625 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:38,682 INFO  L107             Complement]: Finished complement. Result 173 states and 3979 transitions.
[2018-10-30 21:35:38,683 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,683 INFO  L77               Intersect]: Start intersect. First operand 351 states and 382 transitions. Second operand 173 states and 3979 transitions.
[2018-10-30 21:35:38,688 INFO  L84               Intersect]: Finished intersect. Result 383 states and 416 transitions.
[2018-10-30 21:35:38,688 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,688 INFO  L101             Complement]: Start complement. Operand 20 states.
[2018-10-30 21:35:38,691 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:38,745 INFO  L107             Complement]: Finished complement. Result 173 states and 3979 transitions.
[2018-10-30 21:35:38,745 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,746 INFO  L77               Intersect]: Start intersect. First operand 383 states and 416 transitions. Second operand 173 states and 3979 transitions.
[2018-10-30 21:35:38,752 INFO  L84               Intersect]: Finished intersect. Result 415 states and 450 transitions.
[2018-10-30 21:35:38,752 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,754 INFO  L101             Complement]: Start complement. Operand 20 states.
[2018-10-30 21:35:38,754 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:38,864 INFO  L107             Complement]: Finished complement. Result 173 states and 3979 transitions.
[2018-10-30 21:35:38,864 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,865 INFO  L77               Intersect]: Start intersect. First operand 415 states and 450 transitions. Second operand 173 states and 3979 transitions.
[2018-10-30 21:35:38,869 INFO  L84               Intersect]: Finished intersect. Result 447 states and 484 transitions.
[2018-10-30 21:35:38,869 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,871 INFO  L101             Complement]: Start complement. Operand 20 states.
[2018-10-30 21:35:38,873 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:38,947 INFO  L107             Complement]: Finished complement. Result 266 states and 6118 transitions.
[2018-10-30 21:35:38,947 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,948 INFO  L77               Intersect]: Start intersect. First operand 447 states and 484 transitions. Second operand 266 states and 6118 transitions.
[2018-10-30 21:35:38,951 INFO  L84               Intersect]: Finished intersect. Result 479 states and 518 transitions.
[2018-10-30 21:35:38,952 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:38,953 INFO  L101             Complement]: Start complement. Operand 24 states.
[2018-10-30 21:35:38,953 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:39,053 INFO  L107             Complement]: Finished complement. Result 338 states and 7774 transitions.
[2018-10-30 21:35:39,053 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,053 INFO  L77               Intersect]: Start intersect. First operand 479 states and 518 transitions. Second operand 338 states and 7774 transitions.
[2018-10-30 21:35:39,068 INFO  L84               Intersect]: Finished intersect. Result 511 states and 552 transitions.
[2018-10-30 21:35:39,068 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,069 INFO  L101             Complement]: Start complement. Operand 24 states.
[2018-10-30 21:35:39,069 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:39,202 INFO  L107             Complement]: Finished complement. Result 338 states and 7774 transitions.
[2018-10-30 21:35:39,202 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,203 INFO  L77               Intersect]: Start intersect. First operand 511 states and 552 transitions. Second operand 338 states and 7774 transitions.
[2018-10-30 21:35:39,208 INFO  L84               Intersect]: Finished intersect. Result 543 states and 586 transitions.
[2018-10-30 21:35:39,208 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,209 INFO  L101             Complement]: Start complement. Operand 24 states.
[2018-10-30 21:35:39,210 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:39,284 INFO  L107             Complement]: Finished complement. Result 344 states and 7912 transitions.
[2018-10-30 21:35:39,284 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,285 INFO  L77               Intersect]: Start intersect. First operand 543 states and 586 transitions. Second operand 344 states and 7912 transitions.
[2018-10-30 21:35:39,295 INFO  L84               Intersect]: Finished intersect. Result 575 states and 620 transitions.
[2018-10-30 21:35:39,295 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,296 INFO  L101             Complement]: Start complement. Operand 24 states.
[2018-10-30 21:35:39,296 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
[2018-10-30 21:35:39,371 INFO  L107             Complement]: Finished complement. Result 394 states and 9062 transitions.
[2018-10-30 21:35:39,371 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,372 INFO  L77               Intersect]: Start intersect. First operand 575 states and 620 transitions. Second operand 394 states and 9062 transitions.
[2018-10-30 21:35:39,377 INFO  L84               Intersect]: Finished intersect. Result 607 states and 654 transitions.
[2018-10-30 21:35:39,377 INFO  L673    TestFileInterpreter]: reporting benchmark results
[2018-10-30 21:35:39,378 INFO  L101             Complement]: Start complement. Operand 24 states.
[2018-10-30 21:35:39,378 INFO  L145             Complement]: Operand was not deterministic. Recomputing result with determinization.
